[TIMESTAMP] | [TIPO DE EVENTO] | [TIPO DE PACOTE] | [TAMANHO] | [PACOTE NÚMERO] | [CRC]
2024-09-12 21:21:12.6 | ENVIO  | DAT  |  154 bytes | Pacote: 51 | CRC: 0008
2024-09-12 21:21:13.1 | ACK    | ACK  |   10 bytes | Pacote: 52
2024-09-12 21:21:13.2 | ENVIO  | DAT  |  154 bytes | Pacote: 52 | CRC: 000d
2024-09-12 21:21:13.8 | ACK    | ACK  |   10 bytes | Pacote: 53
2024-09-12 21:21:13.9 | ENVIO  | DAT  |  154 bytes | Pacote: 53 | CRC: 0009
2024-09-12 21:21:14.6 | ACK    | ACK  |   10 bytes | Pacote: 54
2024-09-12 21:21:14.7 | ENVIO  | DAT  |  154 bytes | Pacote: 54 | CRC: 0009
2024-09-12 21:21:15.3 | ACK    | ACK  |   10 bytes | Pacote: 55
2024-09-12 21:21:15.4 | ENVIO  | DAT  |  154 bytes | Pacote: 55 | CRC: 0004
2024-09-12 21:21:15.9 | ACK    | ACK  |   10 bytes | Pacote: 56
2024-09-12 21:21:16.0 | ENVIO  | DAT  |  154 bytes | Pacote: 56 | CRC: 000b
2024-09-12 21:21:16.4 | ACK    | ACK  |   10 bytes | Pacote: 57
2024-09-12 21:21:16.5 | ENVIO  | DAT  |  151 bytes | Pacote: 57 | CRC: 0007
2024-09-12 21:21:16.9 | ACK    | ACK  |   10 bytes | Pacote: 58
2024-09-12 21:21:17.0 | ENVIO  | IMG  |  151 bytes
